i-2483	Référendum obligatoire (article 89)
i-2491	RIC-Constituant #4 (article 89)
i-2601	Abrogation décret feux vélo clignotants
i-2610	Stop usage X pour la comm' du gouv'
i-2737	Création de l’infraction d’homicide routier
i-2760	Abrogation des ZFE (#gueux)
i-2793	6ème République - convocation d'une Constituante
i-2863	Contre le projet de loi fin de vie
i-3008	Contribution ultra-riches et grandes entreprises
i-2894	Sanction contre Israël
i-3279	Gaza a faim : accès immédiat à l'aide humanitaire
i-3070	Abrogation contrôle technique moto
i-4023	Macron Destitution — 09/25 (art. 68)
i-4753	Rendre obligatoire l'affichage du Nutri-Score sur les emballages
i-4828	Pénurie de dermatologues
i-5103	Non c'est Non, Monsieur Duplomb !
i-5428	Touchez pas à nos fêtes !
i-5521	Contamination au cadmium : action immédiate !

# ^ tracked ^     ▼ not tracked ▼

i-2438	Accueil des Libanais en France
i-2640	Non à la suppression de l'abattement de 10%
i-2885	Reconnaissance immédiate de la Palestine
i-3019	Reconnaissance des kinés
i-3346	Suppression de l'ARCOM
i-3635	Suppression de l'ADEME
i-3583	Refus de la destruction contraceptifs USAID
i-3867	Pour la reconnaissance de la GROSSOPHOBIE
i-3034	Soutien à la taxe Zucman, pour une fiscalité juste
i-4253	Non à Chat-Control, outil de surveillance de masse
i-4479	Non au malus écologique rétroactif sur les autos
i-4458	Pour l’instauration d’une taxe Zucman sur les ultra-riches
i-4340	Liberté énergétique, prod+conso électricité renouvelable
i-4490	Vapoter n'est pas fumer, retrait de l'art. 23 du budget
i-4623	Référendum pour la taxe Zucman
i-4317	Non aux boutiques SHEIN en France !!
i-3700	Reconnaissance du SOPK en ALD
i-4513	Gratuité totale des parkings à l’hôpital public
i-4594	Non aux franchises médicales et participations forfaitaires !
i-4768	STOP à l'abattage inutile du bétail / dermatose nodulaire
i-5015	Référendum consultatif sur la relation France–UE
i-5090	Référendum sortie éventuelle de la France de l'UE
i-5174	Facturation électronique obligatoire, c'est non !
i-4180	Dissolution du parti politique LFI (29/09/2025)
i-5266	Loi d'urgence usurpation d'identité
i-5254	Mutuelle complémentaire gérée par la Sécurité Sociale
i-4282	Journée nationale contre la non-représentation d’enfant
i-4991	Pour une commission d'enquête féminicides
i-5200	Non à la dématérialisation des cours de français FLE
i-5546	Pour la gratuité de la justice, non au timbre fiscal !
i-5695	Non à la prop. de loi «1er mai» au rabais
i-5725	Abrogation obligations vaccinales pédiatriques
i-5273	Commission d'enquête sur l'affaire Epstein en France
i-5648	Encadrement formations + conseils psychothérapeutes
